rob_size,lq_size,sq_size,p_width,interval,performance,energy,Timestamp
32,64,16,4,16000000,0.8942403868057999,9.366216457403683,20727962
32,64,4,4,16000000,0.9082562096395399,9.50486862603037,20727962
32,64,64,4,16000000,0.8941579592800599,9.375705853441056,20727962
32,16,64,4,16000000,0.8941579592800599,9.366944797251469,20727962
256,16,4,6,16000000,0.42587629041282,5.057285099363677,21281196
512,16,4,6,16000000,0.42587629041282,5.111141027151862,21281196
512,16,4,5,16000000,0.45268751081810005,5.250195552561978,21281196
256,16,4,5,16000000,0.45268751081810005,5.204294260056888,21281196
128,16,16,11,16000000,0.40264299372216,5.394953409692717,21281196
256,16,16,6,16000000,0.42535477921493997,5.05246574891888,21281196
512,16,16,6,16000000,0.42535451216993997,5.10628322379455,21281196
512,16,16,5,16000000,0.45218217290566,5.246532429269468,21281196
256,16,16,5,16000000,0.45218227943975997,5.200637232799704,21281196
128,128,128,8,16000000,0.39918130592858,5.023683479154356,21281196
256,64,4,11,16000000,0.37930677881522,5.239819573963862,21857382
128,64,4,11,16000000,0.40315016978861995,5.404959310570817,21857382
128,16,4,11,16000000,0.39910439022292,5.358355398409476,21857382
256,16,4,11,16000000,0.39169304783978,5.35356069220053,21857382
128,128,4,11,16000000,0.40315016978861995,5.410628608082364,21857382
16,256,256,4,16000000,1.22793857854292,12.775007679590981,21857382
16,64,256,4,16000000,1.22793857854292,12.735696417608231,21857382
16,128,256,4,16000000,1.22793857854292,12.749185516472622,21857382
16,4,256,4,16000000,1.2274090781429,12.717337462109153,21857382
16,16,256,4,16000000,1.22793857854292,12.724204745420613,21857382
128,256,256,4,16000000,0.5611259791160799,6.182440915631217,22425750
256,256,256,4,16000000,0.55905346378806,6.1953332349327646,22425750
512,256,256,4,16000000,0.55904189134796,6.2350633098930475,22425750
512,128,256,4,16000000,0.55904189134796,6.221417635132459,22425750
512,64,256,4,16000000,0.55904189134796,6.214286034339821,22425750
256,64,16,7,16000000,0.37210079261969997,4.652315004785301,22425750
256,64,256,4,16000000,0.55905346378806,6.174528008299381,22425750
256,16,256,4,16000000,0.5590848245707,6.168735577577563,22425750
512,16,256,4,16000000,0.5590837762770999,6.20851951134695,22425750
64,256,256,8,16000000,0.68378132951284,8.028812233079353,22425750
128,64,256,6,16000000,0.4437446969322,5.225797086014167,22994680
128,64,128,7,16000000,0.42403860523906,5.13342017192429,22994680
128,16,256,6,16000000,0.44377281198156004,5.220901035024784,22994680
128,16,256,5,16000000,0.45523468402398,5.222523786648407,22994680
128,16,128,5,16000000,0.45523468402398,5.207302850942713,22994680
128,16,128,7,16000000,0.42406659386615997,5.128431238417394,22994680
128,16,128,6,16000000,0.44377281198156004,5.205889390555254,22994680
128,64,128,5,16000000,0.45632076206253996,5.222499771214148,22994680
32,4,4,9,16000000,0.8691588670236801,10.089928080686384,22994680
32,4,16,9,16000000,0.86869427912238,10.085849483273027,22994680
