benchmark,interval,cluster,index,cpi
linear,32000,10,2,0.936721
linear,32000,10,3,0.789368
linear,32000,10,0,0.875344
linear,32000,10,1,1.032968
linear,32000,11,2,1.648552
linear,32000,11,3,1.755102
linear,32000,11,0,1.712388
linear,32000,11,1,1.645384
linear,32000,12,0,2.258344
linear,32000,6,7,1.805681
linear,32000,6,4,1.940849
linear,32000,6,5,1.833526
linear,32000,6,9,1.759383
linear,32000,6,8,1.918755
linear,32000,6,2,1.811057
linear,32000,6,3,1.781351
linear,32000,6,0,1.894240
linear,32000,6,6,1.837161
linear,32000,6,1,1.796188
linear,32000,1,7,1.712621
linear,32000,1,4,1.747305
linear,32000,1,5,1.764024
linear,32000,1,9,1.703103
linear,32000,1,8,1.733031
linear,32000,1,2,1.575295
linear,32000,1,3,1.604437
linear,32000,1,0,1.436027
linear,32000,1,6,1.581326
linear,32000,1,1,1.530485
linear,4000,7,7,1.385193
linear,4000,7,4,1.815315
linear,4000,7,5,1.754439
linear,4000,7,9,1.609348
linear,4000,7,8,1.342914
linear,4000,7,2,1.523131
linear,4000,7,3,3.226637
linear,4000,7,0,1.534250
linear,4000,7,6,1.691018
linear,4000,7,1,1.519870
linear,4000,14,0,1.769500
linear,4000,14,1,1.755750
linear,4000,4,7,0.700325
linear,4000,4,4,1.892250
linear,4000,4,5,0.632158
linear,4000,4,9,0.750625
linear,4000,4,8,0.676088
linear,4000,4,2,1.599300
linear,4000,4,3,1.623750
linear,4000,4,0,1.957750
linear,4000,4,6,0.699675
linear,4000,4,1,2.081500
linear,4000,5,4,0.486500
linear,4000,5,5,0.748624
linear,4000,5,2,2.000750
linear,4000,5,3,0.451750
linear,4000,5,0,0.668332
linear,4000,5,6,0.676088
linear,4000,5,1,2.116587
linear,4000,13,7,2.944472
linear,4000,13,4,2.406203
linear,4000,13,5,1.613903
linear,4000,13,9,1.936548
linear,4000,13,8,2.752188
linear,4000,13,2,1.624906
linear,4000,13,3,1.666250
linear,4000,13,0,1.667501
linear,4000,13,6,1.772943
linear,4000,13,1,1.672745
linear,4000,9,7,5.510755
